0,1,2,3,4,5
0.81212727,0.480559939,0.437732841,-1.547226858,-1.800226987,-1.909365584
0.837850615,0.410545235,0.365588772,-1.474471339,-1.590899182,-1.915190725
0.858257344,0.356818044,0.310883296,-1.417001428,-1.431216136,-1.919126979
0.874144305,0.31697399,0.271017579,-1.372606078,-1.313849993,-1.921431835
0.886236403,0.288822555,0.243625279,-1.339268988,-1.232126115,-1.922340032
0.895189613,0.270378251,0.22656291,-1.31516059,-1.179996044,-1.922064514
0.901594005,0.259851777,0.217900203,-1.298630044,-1.152010461,-1.920797392
0.905976756,0.255641191,0.215910465,-1.288197225,-1.143292145,-1.918710897
0.908805174,0.256323071,0.219060946,-1.282544714,-1.149508936,-1.915958334
0.910489715,0.26064368,0.226003197,-1.280509792,-1.166846691,-1.912675044
0.911387002,0.26751013,0.235563434,-1.281076425,-1.191982246,-1.908979356
0.911802842,0.275981552,0.246732898,-1.283367259,-1.222056376,-1.904973546
0.911995248,0.285260255,0.258658218,-1.28663561,-1.254646753,-1.900744792
0.912177456,0.294682891,0.270631775,-1.290257452,-1.287740906,-1.896366131
0.912520942,0.303711624,0.282082058,-1.293723409,-1.319709186,-1.891897416
0.913158444,0.311925294,0.292564033,-1.296630748,-1.349277716,-1.88738627
0.914186979,0.319010576,0.3017495,-1.298675363,-1.375501361,-1.882869047
0.915670863,0.324753155,0.309417457,-1.299643775,-1.39773668,-1.878371784
0.917644727,0.32902888,0.31544446,-1.299405113,-1.415614892,-1.873911159
0.920116538,0.331794937,0.319794988,-1.297903112,-1.42901483,-1.869495449
0.92307062,0.333081009,0.322511802,-1.295148097,-1.438035907,-1.865125483
0.926470667,0.332980446,0.323706309,-1.29120898,-1.442971069,-1.860795604
0.930262767,0.331641421,0.323548921,-1.286205247,-1.44427976,-1.856494617
0.934378416,0.329258106,0.322259422,-1.280298948,-1.442560881,-1.852206756
0.938737543,0.326061827,0.320097323,-1.27368669,-1.438525749,-1.84791263
0.944941354,0.321660997,0.317410348,-1.264113033,-1.434215888,-1.841191039
0.949935612,0.315048345,0.311734273,-1.254194993,-1.420749939,-1.836649082
0.954726136,0.312536154,0.310546128,-1.247787088,-1.418366701,-1.833051624
0.957704872,0.31286404,0.312267233,-1.244548725,-1.425941735,-1.827895439
0.960490645,0.313681607,0.314585207,-1.241707544,-1.435165601,-1.822648735
0.963070427,0.315020244,0.317496816,-1.239321716,-1.446187481,-1.817280908
0.965443386,0.316935653,0.32106831,-1.237422348,-1.459138981,-1.811790747
0.967611681,0.319475924,0.325371565,-1.236032932,-1.474134743,-1.806214702
0.969584182,0.322661153,0.33043458,-1.235146412,-1.491223335,-1.800576544
0.971371539,0.326492377,0.336253478,-1.234762332,-1.510418781,-1.794879803
0.972999336,0.33093517,0.342782155,-1.234817531,-1.531659802,-1.789116475
0.974490948,0.336018954,0.350089534,-1.235379833,-1.554819785,-1.783399427
0.975886579,0.34164595,0.358041774,-1.23632217,-1.579715315,-1.777689917
0.977228982,0.347739549,0.366556785,-1.237577794,-1.606075245,-1.772014188
0.979560473,0.356324329,0.378318105,-1.240670634,-1.640207621,-1.768254997
0.981390626,0.363829325,0.388618515,-1.242882353,-1.671071169,-1.763412663
0.981815337,0.368359518,0.395041968,-1.242765975,-1.692587569,-1.756002921
0.982702879,0.37332827,0.402069219,-1.242954054,-1.715491923,-1.749154182
0.984102065,0.378445601,0.409351927,-1.243151552,-1.738846164,-1.74285219
0.986060571,0.38338742,0.416498825,-1.243150428,-1.76171819,-1.737039662
0.988642533,0.387794641,0.423047977,-1.242639905,-1.783032538,-1.731593971
0.991929236,0.391298716,0.428618386,-1.241405849,-1.801582069,-1.726616174
0.996001205,0.393465396,0.43261512,-1.239101557,-1.816095414,-1.721893401
0.999226229,0.398397954,0.439923672,-1.239033185,-1.839507679,-1.717106617
1.00264037,0.403449616,0.447344068,-1.239037724,-1.863409104,-1.712389233
1.00621292,0.408578616,0.454869789,-1.239088074,-1.887690328,-1.707765117
1.009922979,0.413729356,0.462415652,-1.23911682,-1.912234724,-1.7031684
1.01375574,0.418884905,0.469974642,-1.239125919,-1.936883114,-1.698619037
1.01768783,0.423990909,0.47745336,-1.239069636,-1.961564405,-1.694022314
1.021706693,0.42900982,0.484801361,-1.238908362,-1.986183011,-1.689338271
1.025792289,0.433940681,0.49203915,-1.238638661,-2.010609656,-1.68459107
1.02993996,0.438751305,0.499114138,-1.238228631,-2.034795835,-1.679722571
1.034136457,0.443394045,0.505948123,-1.237628522,-2.058673848,-1.674664131
1.038364406,0.447855885,0.512525186,-1.23686024,-2.082146622,-1.669440957
1.042595046,0.452151008,0.518878811,-1.235857195,-2.105252855,-1.664010937
1.046856398,0.456202548,0.524877664,-1.234627271,-2.127853016,-1.658320707
1.051132441,0.460027878,0.530546607,-1.233120922,-2.149888143,-1.65235222
1.055422729,0.463616275,0.535872196,-1.231338529,-2.171378957,-1.646090494
1.059710462,0.466935651,0.540836292,-1.229250965,-2.192285087,-1.639549258
1.064005417,0.470017628,0.545411555,-1.226848437,-2.212586228,-1.632619295
1.068299224,0.472846908,0.549629221,-1.224150701,-2.232296619,-1.625376401
1.07259811,0.475410508,0.553458445,-1.221103499,-2.251428626,-1.617764568
1.07690157,0.477722981,0.556910288,-1.217694007,-2.269918252,-1.609787979
1.08121768,0.479782229,0.559981288,-1.213899871,-2.287833418,-1.601412984
1.085546269,0.481598858,0.562684467,-1.209745699,-2.305198647,-1.592662017
1.089899576,0.483184425,0.565035664,-1.205202652,-2.322068015,-1.583506834
1.094283966,0.484553352,0.567035941,-1.200242386,-2.338423671,-1.573931789
1.098712512,0.485720811,0.568704042,-1.194873607,-2.354359796,-1.563927291
1.103193249,0.486727539,0.570099187,-1.189095477,-2.369924324,-1.553507473
1.107743134,0.487563895,0.571195681,-1.182870254,-2.385185501,-1.542637629
1.112373422,0.488284213,0.57206818,-1.176213576,-2.400214389,-1.531336968
1.117105838,0.488891786,0.572708124,-1.169094584,-2.415092919,-1.519576394
1.121960878,0.489428612,0.573167091,-1.161490369,-2.429908906,-1.507339876
1.126955055,0.489927215,0.573486263,-1.153419078,-2.444761276,-1.494649128
1.132118996,0.490420279,0.573688927,-1.144802553,-2.459740892,-1.481432644
1.137468037,0.490954733,0.573874727,-1.135770041,-2.475006592,-1.467838299
1.14305754,0.49157953,0.574010552,-1.125965303,-2.490586844,-1.453485449
1.148888754,0.492328569,0.574201759,-1.115644085,-2.506647677,-1.438664751
1.155013332,0.493251729,0.574466204,-1.10462893,-2.52331572,-1.423196061
1.161469689,0.494396156,0.574834361,-1.092825385,-2.540705779,-1.406991934
1.168283153,0.495869823,0.5754616,-1.080330613,-2.558963963,-1.390151658
1.17550497,0.497660647,0.576257589,-1.066886234,-2.578215049,-1.372433207
1.183182035,0.499856061,0.577300789,-1.052393224,-2.598590656,-1.353734176
1.191325837,0.502513274,0.578643458,-1.036913113,-2.620222532,-1.334138756
1.198251566,0.501946984,0.575349326,-1.017443734,-2.63159748,-1.310200633
1.204735153,0.500085282,0.569990774,-0.995330297,-2.638459797,-1.283473018
1.212467183,0.500227436,0.566806637,-0.972951978,-2.651218112,-1.256750355
1.220411218,0.500270353,0.562987818,-0.948628435,-2.663160837,-1.228106809
1.228548841,0.500214392,0.558496777,-0.922304238,-2.674262179,-1.197472665
1.236867687,0.50005862,0.553284952,-0.893928257,-2.684433627,-1.164795132
1.245352455,0.499811578,0.547372188,-0.863557096,-2.693590794,-1.130175602
1.253967828,0.499455449,0.540636936,-0.831130726,-2.701702814,-1.093460967
1.262677664,0.499004648,0.533154298,-0.796710764,-2.708725111,-1.054801198
1.271457751,0.498452318,0.524835446,-0.760315808,-2.714547383,-1.01417155
1.280256649,0.497756756,0.515656265,-0.722097384,-2.719131776,-0.971784727
1.289055653,0.496978975,0.505757082,-0.682186274,-2.722532628,-0.927758335
1.297802278,0.496081666,0.495069184,-0.640748833,-2.724655509,-0.882270589
1.306456572,0.495054935,0.483610819,-0.597932709,-2.725512544,-0.83547822
1.314974265,0.493872265,0.471367801,-0.553944279,-2.725079803,-0.78759199
1.323326952,0.49260004,0.458528582,-0.508974508,-2.723407408,-0.738828388
1.331467775,0.491201438,0.445083655,-0.46332018,-2.720485561,-0.689547487
1.33936205,0.489654373,0.43104169,-0.417103471,-2.716362053,-0.639811761
1.346976467,0.48796635,0.416487916,-0.370625306,-2.711047213,-0.589962568
1.35429179,0.486121731,0.401470085,-0.324068501,-2.704616703,-0.540190377
1.361280677,0.484128895,0.38607988,-0.277668822,-2.697120838,-0.490749283
1.36792912,0.481986341,0.37038141,-0.231623234,-2.688578779,-0.441858919
1.374221359,0.479676285,0.354429932,-0.186164318,-2.679121073,-0.393758276
1.380152663,0.477226051,0.338343498,-0.141437933,-2.668790579,-0.346588808
