2023_10_25__17_11_42: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__17_11_42.txt' created successfully. 
2023_10_25__17_11_42: 197 Server: listening on port 22
2023_10_25__17_11_44: 212 Server: start receive data, blocking
2023_10_25__17_12_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_12_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_13_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_14_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
