2023_10_25__17_19_13: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__17_19_13.txt' created successfully. 
2023_10_25__17_19_13: 197 Server: listening on port 22
2023_10_25__17_20_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_20_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_21_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
