2023_10_26__10_28_30: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_26__10_28_30.txt' created successfully. 
2023_10_26__10_28_30: 197 Server: listening on port 22
2023_10_26__10_29_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_26__10_30_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
