2023_10_25__17_26_50: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__17_26_50.txt' created successfully. 
2023_10_25__17_26_50: 197 Server: listening on port 22
2023_10_25__17_26_53: 212 Server: start receive data, blocking
2023_10_25__17_27_05: 222 Server: received whisper message: [whisper]:  Scanner start.
2023_10_25__17_27_05: 227 Server: filtered whisper message: [whisper]  scanner start
2023_10_25__17_27_05: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__17_27_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_27_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
