2023_10_25__17_56_53: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_10_25__17_56_53.txt' created successfully. 
2023_10_25__17_56_53: 197 Server: listening on port 22
2023_10_25__17_56_54: 212 Server: start receive data, blocking
2023_10_25__17_58_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_58_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_12: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_10_25__17_59_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
