2023_12_20__16_01_05: Server: file 'D:/Banfi/Github/fluently/Code/TCPServer/logs/TCPServer_2023_12_20__16_01_05.txt' created successfully. 
2023_12_20__16_01_05: 197 Server: listening on port 22
2023_12_20__16_01_13: 212 Server: start receive data, blocking
2023_12_20__16_02_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_56: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_57: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_58: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_02_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_04: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_05: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_06: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_07: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_08: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_09: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_10: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_11: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
2023_12_20__16_03_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner start
