2023_10_25__19_04_59: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner stop
2023_10_25__19_05_00: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner stop
2023_10_25__19_05_01: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner stop
2023_10_25__19_05_02: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner stop
2023_10_25__19_05_03: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner stop
2023_10_25__19_05_04: 349 Server: send aknowledge msg to client: [whisper]  scanner stop
2023_10_25__19_05_04: 212 Server: start receive data, blocking
2023_10_25__19_05_12: 222 Server: received whisper message: [whisper]:  Scanner save.
2023_10_25__19_05_12: 227 Server: filtered whisper message: [whisper]  scanner save
2023_10_25__19_05_12: 231 Server: saved cmd file to: D:/Banfi/Commands/cmdForSikulix/ROSClientCommand.txt
2023_10_25__19_05_13: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_14: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_15: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_16: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_17: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_18: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_19: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_20: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_21: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_22: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_23: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_24: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_25: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_26: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_27: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_28: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_29: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_30: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_31: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_32: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_33: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_34: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_35: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_36: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_37: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_38: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_39: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_40: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_41: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_42: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_43: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_44: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_45: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_46: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_47: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_48: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_49: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_50: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_51: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_52: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_53: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_54: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
2023_10_25__19_05_55: 16 Server: waiting for Sikulix to execute last command: [whisper]  scanner save
